DoubletFinder_score	DoubletFinder_DropletType
0.317904374364191	singlet
0.300101729399797	singlet
0.386571719226857	singlet
0.144964394710071	singlet
0.404374364191251	doublet
0.401322482197355	doublet
0.369786368260427	singlet
0.428789420142421	doublet
0.391149542217701	singlet
0.376398779247202	singlet
0.334181078331638	singlet
0.329603255340793	singlet
0.292980671414039	singlet
0.294506612410987	singlet
0.173957273652085	singlet
0.371820956256358	singlet
0.374364191251272	singlet
0.130213631739573	singlet
0.319430315361139	singlet
0.149542217700916	singlet
0.34028484231943	singlet
0.403357070193286	doublet
0.239572736520855	singlet
0.333163784333672	singlet
0.111902339776195	singlet
0.127670396744659	singlet
0.316887080366226	singlet
0.350457782299084	singlet
0.337741607324517	singlet
0.145981688708037	singlet
0.309257375381485	singlet
0.117497456765005	singlet
0.209053916581892	singlet
0.181586978636826	singlet
0.315361139369278	singlet
0.416581892166836	doublet
0.399796541200407	doublet
0.314852492370295	singlet
0.368260427263479	singlet
0.308748728382503	singlet
0.347405900305188	singlet
0.143947100712106	singlet
0.302136317395727	singlet
0.398779247202442	singlet
0.374872838250254	singlet
0.130722278738555	singlet
0.256866734486267	singlet
0.330620549338759	singlet
0.384028484231943	singlet
0.349440488301119	singlet
0.335198372329603	singlet
0.157171922685656	singlet
0.272126144455748	singlet
0.365208545269583	singlet
0.438453713123093	doublet
0.267548321464903	singlet
0.304170905391658	singlet
0.237029501525941	singlet
0.39471007121058	singlet
0.316378433367243	singlet
0.316378433367243	singlet
0.342319430315361	singlet
0.30264496439471	singlet
0.316887080366226	singlet
0.42675483214649	doublet
0.415564598168871	doublet
0.360630722278739	singlet
0.295015259409969	singlet
0.130213631739573	singlet
0.339776195320448	singlet
0.302136317395727	singlet
0.266022380467955	singlet
0.301119023397762	singlet
0.293997965412004	singlet
0.314852492370295	singlet
0.258392675483215	singlet
0.315361139369278	singlet
0.348423194303154	singlet
0.276703967446592	singlet
0.316887080366226	singlet
0.337232960325534	singlet
0.287894201424212	singlet
